algorithm_name,env_n,states_n,cost_e1,cost_e2,time,solution_found
BFS,1,33,33,40,0.006998777389526367,True
DFS,1,477,477,902,0.2943727970123291,True
DLS,1,0,0,0,0.0029993057250976562,False
UCS e1,1,33,32,0,0.016999483108520508,True
UCS e2,1,33,0,40,0.020000457763671875,True
A*_e1,1,33,33,0,0.0030014514923095703,True
A*_e2,1,33,0,32,0.00299835205078125,True
aleatorio,1,0,0,0,0.0010001659393310547,False
BFS,2,59,59,81,0.03799939155578613,True
DFS,2,1123,1123,2157,0.26264023780822754,True
DLS,2,0,0,0,0.0019996166229248047,False
UCS e1,2,59,58,0,0.14999961853027344,True
UCS e2,2,59,0,81,0.16200041770935059,True
A*_e1,2,59,59,0,0.005999565124511719,True
A*_e2,2,59,0,58,0.006999969482421875,True
aleatorio,2,0,0,0,0.0030002593994140625,False
BFS,3,51,51,118,0.08998894691467285,True
DFS,3,625,625,1243,0.2721240520477295,True
DLS,3,0,0,0,0.001992464065551758,False
UCS e1,3,51,50,0,0.044962167739868164,True
UCS e2,3,51,0,118,0.13404250144958496,True
A*_e1,3,51,51,0,0.00699925422668457,True
A*_e2,3,51,0,50,0.0070037841796875,True
aleatorio,3,0,0,0,0.001994609832763672,False
BFS,4,9,9,18,0.001988649368286133,True
DFS,4,449,449,881,0.09801959991455078,True
DLS,4,0,0,0,0.0019936561584472656,False
UCS e1,4,9,8,0,0.0029518604278564453,True
UCS e2,4,9,0,18,0.007039070129394531,True
A*_e1,4,9,9,0,0.0020012855529785156,True
A*_e2,4,9,0,8,0.0020003318786621094,True
aleatorio,4,0,0,0,0.0019578933715820312,False
BFS,5,102,102,226,0.12195706367492676,True
DFS,5,2224,2224,4378,0.27804040908813477,True
DLS,5,0,0,0,0.003962993621826172,False
UCS e1,5,102,101,0,0.1739964485168457,True
UCS e2,5,102,0,226,0.08204054832458496,True
A*_e1,5,102,102,0,0.0050008296966552734,True
A*_e2,5,102,0,101,0.004001617431640625,True
aleatorio,5,0,0,0,0.0019986629486083984,False
BFS,6,23,23,48,0.005998373031616211,True
DFS,6,693,693,1354,0.04001879692077637,True
DLS,6,0,0,0,0.0029840469360351562,False
UCS e1,6,23,22,0,0.011034488677978516,True
UCS e2,6,23,0,48,0.04000234603881836,True
A*_e1,6,23,23,0,0.002992391586303711,True
A*_e2,6,23,0,22,0.0030052661895751953,True
aleatorio,6,0,0,0,0.001997709274291992,False
BFS,7,62,62,130,0.0249941349029541,True
DFS,7,2496,2496,4882,0.2830066680908203,True
DLS,7,0,0,0,0.001978635787963867,False
UCS e1,7,62,61,0,0.07399964332580566,True
UCS e2,7,62,0,130,0.09901070594787598,True
A*_e1,7,62,62,0,0.004010677337646484,True
A*_e2,7,62,0,61,0.003993988037109375,True
aleatorio,7,0,0,0,0.0020012855529785156,False
BFS,8,44,44,77,0.10594964027404785,True
DFS,8,1014,1014,1984,0.08504080772399902,True
DLS,8,0,0,0,0.0019876956939697266,False
UCS e1,8,44,43,0,0.031012296676635742,True
UCS e2,8,44,0,77,0.025998830795288086,True
A*_e1,8,44,44,0,0.0030014514923095703,True
A*_e2,8,44,0,43,0.003001689910888672,True
aleatorio,8,0,0,0,0.0019960403442382812,False
BFS,9,105,105,271,0.04095268249511719,True
DFS,9,1627,1627,3249,0.2329998016357422,True
DLS,9,0,0,0,0.005003452301025391,False
UCS e1,9,105,104,0,0.1580367088317871,True
UCS e2,9,105,0,271,0.1631464958190918,True
A*_e1,9,105,105,0,0.012027978897094727,True
A*_e2,9,105,0,104,0.01103353500366211,True
aleatorio,9,0,0,0,0.002966165542602539,False
BFS,10,87,87,174,0.03696012496948242,True
DFS,10,597,597,1192,0.027007341384887695,True
DLS,10,0,0,0,0.0030319690704345703,False
UCS e1,10,87,86,0,0.10696530342102051,True
UCS e2,10,87,0,174,0.12203717231750488,True
A*_e1,10,87,87,0,0.03799748420715332,True
A*_e2,10,87,0,86,0.03600144386291504,True
aleatorio,10,0,0,0,0.002001047134399414,False
BFS,11,96,96,109,0.2369999885559082,True
DFS,11,922,922,1716,0.0820000171661377,True
DLS,11,0,0,0,0.005999326705932617,False
UCS e1,11,96,95,0,0.28800106048583984,True
UCS e2,11,96,0,109,0.24517178535461426,True
A*_e1,11,96,96,0,0.026002168655395508,True
A*_e2,11,96,0,95,0.033998727798461914,True
aleatorio,11,0,0,0,0.0020024776458740234,False
BFS,12,118,118,155,0.04814004898071289,True
DFS,12,1646,1646,3143,0.41622233390808105,True
DLS,12,0,0,0,0.001997709274291992,False
UCS e1,12,118,117,0,0.15003585815429688,True
UCS e2,12,118,0,155,0.14600062370300293,True
A*_e1,12,118,118,0,0.017999649047851562,True
A*_e2,12,118,0,117,0.016999244689941406,True
aleatorio,12,0,0,0,0.002002716064453125,False
BFS,13,15,15,22,0.003000497817993164,True
DFS,13,679,679,1311,0.025044918060302734,True
DLS,13,0,0,0,0.0019922256469726562,False
UCS e1,13,15,14,0,0.004998922348022461,True
UCS e2,13,15,0,22,0.005999565124511719,True
A*_e1,13,15,15,0,0.003000020980834961,True
A*_e2,13,15,0,14,0.001963376998901367,True
aleatorio,13,0,0,0,0.002044200897216797,False
BFS,14,118,118,291,0.05298590660095215,True
DFS,14,2292,2292,4529,0.2670326232910156,True
DLS,14,0,0,0,0.0020074844360351562,False
UCS e1,14,118,117,0,0.1599595546722412,True
UCS e2,14,118,0,291,0.13899612426757812,True
A*_e1,14,118,118,0,0.023049116134643555,True
A*_e2,14,118,0,117,0.019989728927612305,True
aleatorio,14,0,0,0,0.0029981136322021484,False
BFS,15,38,38,96,0.0159909725189209,True
DFS,15,400,400,809,0.08700156211853027,True
DLS,15,0,0,0,0.002966642379760742,False
UCS e1,15,38,37,0,0.04503321647644043,True
UCS e2,15,38,0,96,0.09799981117248535,True
A*_e1,15,38,38,0,0.02096390724182129,True
A*_e2,15,38,0,37,0.013998985290527344,True
aleatorio,15,0,0,0,0.007017850875854492,False
BFS,16,44,44,118,0.01799750328063965,True
DFS,16,1656,1656,3236,0.1799938678741455,True
DLS,16,0,0,0,0.003000974655151367,False
UCS e1,16,44,43,0,0.06399965286254883,True
UCS e2,16,44,0,118,0.10709857940673828,True
A*_e1,16,44,44,0,0.00896596908569336,True
A*_e2,16,44,0,43,0.006036996841430664,True
aleatorio,16,0,0,0,0.0019991397857666016,False
BFS,17,68,68,117,0.15337848663330078,True
DFS,17,1884,1884,3671,0.14000821113586426,True
DLS,17,0,0,0,0.0030298233032226562,False
UCS e1,17,68,67,0,0.13200688362121582,True
UCS e2,17,68,0,117,0.10299324989318848,True
A*_e1,17,68,68,0,0.00400090217590332,True
A*_e2,17,68,0,67,0.004000425338745117,True
aleatorio,17,0,0,0,0.0030012130737304688,False
BFS,18,22,22,27,0.11504054069519043,True
DFS,18,310,310,592,0.09299421310424805,True
DLS,18,0,0,0,0.002001523971557617,False
UCS e1,18,22,21,0,0.012001276016235352,True
UCS e2,18,22,0,27,0.011999368667602539,True
A*_e1,18,22,22,0,0.0029985904693603516,True
A*_e2,18,22,0,21,0.002002716064453125,True
aleatorio,18,0,0,0,0.002001523971557617,False
BFS,19,7,7,6,0.0019905567169189453,True
DFS,19,171,171,323,0.003962993621826172,True
DLS,19,0,0,0,0.002000570297241211,False
UCS e1,19,7,6,0,0.002997875213623047,True
UCS e2,19,7,0,6,0.0020003318786621094,True
A*_e1,19,7,7,0,0.002999544143676758,True
A*_e2,19,7,0,6,0.0019996166229248047,True
aleatorio,19,0,0,0,0.0019998550415039062,False
BFS,20,31,31,56,0.00899815559387207,True
DFS,20,279,279,543,0.015959739685058594,True
DLS,20,0,0,0,0.0020377635955810547,False
UCS e1,20,31,30,0,0.022000551223754883,True
UCS e2,20,31,0,56,0.021962881088256836,True
A*_e1,20,31,31,0,0.007998943328857422,True
A*_e2,20,31,0,30,0.009001731872558594,True
aleatorio,20,0,0,0,0.003998279571533203,False
BFS,21,44,44,61,0.015000343322753906,True
DFS,21,998,998,1931,0.17403697967529297,True
DLS,21,0,0,0,0.002000093460083008,False
UCS e1,21,44,43,0,0.04699897766113281,True
UCS e2,21,44,0,61,0.061000823974609375,True
A*_e1,21,44,44,0,0.0050008296966552734,True
A*_e2,21,44,0,43,0.00600123405456543,True
aleatorio,21,0,0,0,0.001960277557373047,False
BFS,22,37,37,90,0.01400446891784668,True
DFS,22,819,819,1622,0.2250509262084961,True
DLS,22,0,0,0,0.0049970149993896484,False
UCS e1,22,37,36,0,0.06004953384399414,True
UCS e2,22,37,0,90,0.15627455711364746,True
A*_e1,22,37,37,0,0.002967357635498047,True
A*_e2,22,37,0,36,0.0030002593994140625,True
aleatorio,22,0,0,0,0.0030324459075927734,False
BFS,23,34,34,33,0.13846182823181152,True
DFS,23,450,450,855,0.013034820556640625,True
DLS,23,0,0,0,0.0019652843475341797,False
UCS e1,23,34,33,0,0.03299593925476074,True
UCS e2,23,34,0,33,0.016004323959350586,True
A*_e1,23,34,34,0,0.0030002593994140625,True
A*_e2,23,34,0,33,0.00403285026550293,True
aleatorio,23,0,0,0,0.002963542938232422,False
BFS,24,92,92,223,0.037989139556884766,True
DFS,24,854,854,1713,0.04900693893432617,True
DLS,24,0,0,0,0.0019910335540771484,False
UCS e1,24,92,91,0,0.11796259880065918,True
UCS e2,24,92,0,223,0.10000133514404297,True
A*_e1,24,92,92,0,0.04199862480163574,True
A*_e2,24,92,0,91,0.052001237869262695,True
aleatorio,24,0,0,0,0.0020422935485839844,False
BFS,25,57,57,62,0.027993440628051758,True
DFS,25,281,281,497,0.15896344184875488,True
DLS,25,0,0,0,0.004996538162231445,False
UCS e1,25,57,56,0,0.08799862861633301,True
UCS e2,25,57,0,62,0.08099985122680664,True
A*_e1,25,57,57,0,0.004000186920166016,True
A*_e2,25,57,0,56,0.004000425338745117,True
aleatorio,25,0,0,0,0.001999378204345703,False
BFS,26,129,129,187,0.04503655433654785,True
DFS,26,1595,1595,3065,0.13896489143371582,True
DLS,26,0,0,0,0.0020363330841064453,False
UCS e1,26,129,128,0,0.13700437545776367,True
UCS e2,26,129,0,187,0.14299464225769043,True
A*_e1,26,129,129,0,0.013963460922241211,True
A*_e2,26,129,0,128,0.01303553581237793,True
aleatorio,26,0,0,0,0.0010025501251220703,False
BFS,27,87,87,193,0.04303336143493652,True
DFS,27,2837,2837,5575,0.39896488189697266,True
DLS,27,0,0,0,0.008998394012451172,False
UCS e1,27,87,86,0,0.16901183128356934,True
UCS e2,27,87,0,193,0.1460254192352295,True
A*_e1,27,87,87,0,0.004999876022338867,True
A*_e2,27,87,0,86,0.005001544952392578,True
aleatorio,27,0,0,0,0.0020012855529785156,False
BFS,28,64,64,101,0.12999272346496582,True
DFS,28,308,308,588,0.011007547378540039,True
DLS,28,0,0,0,0.0019931793212890625,False
UCS e1,28,64,63,0,0.07195711135864258,True
UCS e2,28,64,0,101,0.06604194641113281,True
A*_e1,28,64,64,0,0.013998270034790039,True
A*_e2,28,64,0,63,0.013004302978515625,True
aleatorio,28,0,0,0,0.001996278762817383,False
BFS,29,102,102,131,0.03498983383178711,True
DFS,29,1258,1258,2383,0.06796383857727051,True
DLS,29,0,0,0,0.002999544143676758,False
UCS e1,29,102,101,0,0.12103772163391113,True
UCS e2,29,102,0,131,0.09411954879760742,True
A*_e1,29,102,102,0,0.006999492645263672,True
A*_e2,29,102,0,101,0.00599980354309082,True
aleatorio,29,0,0,0,0.002000093460083008,False
BFS,30,31,31,61,0.008994817733764648,True
DFS,30,1427,1427,2779,0.09200549125671387,True
DLS,30,0,0,0,0.0019996166229248047,False
UCS e1,30,31,30,0,0.011035680770874023,True
UCS e2,30,31,0,61,0.009000539779663086,True
A*_e1,30,31,31,0,0.0020012855529785156,True
A*_e2,30,31,0,30,0.0029993057250976562,True
aleatorio,30,0,0,0,0.001999378204345703,False
